LogicalName,Label,SchemaName,IsCustomEntity,IsActivity,Description
aaduser,Microsoft Entra ID,aaduser,True,False,Virtual entity that represents Microsoft Entra ID
account,Account,Account,False,False,Business that represents a customer or potential customer. The company that is billed in business transactions.
aciviewmapper,ACIViewMapper,ACIViewMapper,False,False,Customized messages for an entity that has been renamed.
actioncard,Action Card,ActionCard,False,False,Action card entity to show action cards.
actioncardusersettings,Action Card User Settings,ActionCardUserSettings,False,False,Stores user settings for action cards
actioncarduserstate,ActionCardUserState,ActionCardUserState,False,False,
activityfileattachment,Activity File Attachment,activityfileattachment,True,False,Attachment entity with data stored in file type attribute
adx_externalidentity,External Identity,adx_externalidentity,True,False,
adx_invitation,Invitation,adx_invitation,True,False,Send invitations to existing contacts or email addresses and assign them to web roles upon redemption.
adx_invitation_invitecontacts,adx_invitation_invitecontacts,adx_invitation_invitecontacts,True,False,
adx_invitation_mspp_webrole_powerpagecomponent,adx_invitation_mspp_webrole_powerpagecomponent,adx_invitation_mspp_webrole_powerpagecomponent,True,False,
adx_invitation_redeemedcontacts,adx_invitation_redeemedcontacts,adx_invitation_redeemedcontacts,True,False,
adx_inviteredemption,Invite Redemption,adx_inviteredemption,True,True,Holds information about the redemption of an invite.
adx_kbarticle_kbarticle,adx_kbarticle_kbarticle,adx_kbarticle_kbarticle,True,False,
adx_portalcomment,Portal Comment,adx_portalcomment,True,True,An activity which is used to share information between the user and the customer on the portal.
adx_setting,Setting,adx_setting,True,False,
adx_webformsession,Multistep Form Session,adx_webformsession,True,False,Serves as a mechanism to log the occurrence of an incomplete multistep form entry for a given user so they can return and complete it later.
agentconversationmessage,Agent Conversation Message,agentconversationmessage,True,False,
agentconversationmessagefile,Agent Conversation Message File,agentconversationmessagefile,True,False,
aicopilot,AICopilot,AICopilot,True,False,AI Copilot
aicopilot_aiplugin,aicopilot_aiplugin,AICopilot_AIPlugin,True,False,
aiinsightcard,AI Insight Card,aiinsightcard,True,False,
aiplugin,AIPlugin,AIPlugin,True,False,AIPlugins component
aipluginauth,AIPluginAuth,AIPluginAuth,True,False,Entity to store AIPlugin Auth Information
aipluginconversationstarter,AI Plugin Conversation Starter,AIPluginConversationStarter,True,False,Conversation Starters for AI Plugins.
aipluginconversationstartermapping,AI Plugin Conversation Starter Mapping,AIPluginConversationStarterMapping,True,False,AIPlugins component
